0 00000000000000000000000001000000, 0.000000, 0.000000, 0.00, -76, 9
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.69, -82, 9
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.09, -76, 9
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.28, -79, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.35, -82, 9
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.17, -76, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.19, -75, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.91, -75, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.98, -74, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.67, -73, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.45, -74, 14
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.35, -75, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.40, -85, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.25, -74, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.42, -82, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.52, -77, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.87, -78, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.84, -80, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.90, -76, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.05, -75, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.30, -79, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.25, -77, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.99, -77, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.46, -77, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.76, -75, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.88, -78, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.76, -77, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.55, -79, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.57, -82, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.50, -79, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.21, -76, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.49, -78, 16
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.45, -83, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.57, -79, 16
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.51, -82, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.48, -81, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.60, -79, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.55, -81, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.34, -80, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.46, -80, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.54, -76, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.60, -79, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.27, -76, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.21, -78, 15
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.32, -78, 16
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.54, -77, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.66, -76, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.51, -78, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.65, -77, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.53, -80, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.48, -79, 14
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.64, -78, 15
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.72, -78, 16
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.56, -81, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.63, -81, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.71, -81, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.76, -82, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.79, -90, 13
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.32, -75, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.39, -77, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -2.26, -77, 14
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.93, -77, 14
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.76, -82, 12
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.47, -83, 14
0 00000000000000000000000001000000, 0.000000, 0.000000, -1.56, -86, 11
0 00000000000000000000000001000000, 0.000000, 0.000000, 1.87, -97, 10
0 00000000000000000000000001000000, 0.000000, 0.000000, 45.34, -104, 9
2 00000000000000000000000001000000, 0.000000, 0.000000, 162.28, -121, 252
2 00000000000000000000000001000000, 0.000000, 0.000000, 408.10, -127, 247
2 00000000000000000000000001000000, 0.000000, 0.000000, 705.04, -122, 252
2 00000000000000000000000001000000, 0.000000, 0.000000, 991.83, -128, 246
2 00000000000000000000000001000000, 0.000000, 0.000000, 1250.24, -131, 244
2 00000000000000000000000001000000, 0.000000, 0.000000, 1665.78, -120, 254
2 00000000000000000000000001000000, 0.000000, 0.000000, 1830.63, -121, 253
2 00000000000000000000000001000000, 0.000000, 0.000000, 1967.74, -124, 251
2 00000000000000000000000001000000, 0.000000, 0.000000, 2083.18, -123, 252
2 00000000000000000000000001000000, 0.000000, 0.000000, 2182.82, -121, 253
2 00000000000000000000000001000000, 0.000000, 0.000000, 2269.76, -119, 255
2 00000000000000000000000001000000, 0.000000, 0.000000, 2343.69, -118, 0
2 00000000000000000000000001000000, 0.000000, 0.000000, 2409.48, -116, 0
2 00000000000000000000000001000000, 0.000000, 0.000000, 2466.68, -118, 0
2 00000000000000000000000001000000, 0.000000, 0.000000, 2512.67, -130, 245
2 00000000000000000000000001000000, 0.000000, 0.000000, 2549.08, -115, 0
2 00000000000000000000000001000000, 0.000000, 0.000000, 2575.45, -118, 0
2 00000000000000000000000001000000, 0.000000, 0.000000, 2592.73, -112, 6
2 00000000000000000000000001000000, 0.000000, 0.000000, 2600.99, -108, 9
2 00000000000000000000000001000000, 0.000000, 0.000000, 2599.57, -107, 9
2 00000000000000000000000001000000, 0.000000, 0.000000, 2590.79, -119, 254
2 00000000000000000000000001000000, 0.000000, 0.000000, 2576.23, -116, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 2559.99, -113, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 2542.34, -112, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 2506.73, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 2488.39, -130, 244
3 00000000000000000000000001000000, 0.000000, 0.000000, 2472.69, -115, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 2456.22, -123, 250
3 00000000000000000000000001000000, 0.000000, 0.000000, 2438.97, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 2423.14, -125, 249
3 00000000000000000000000001000000, 0.000000, 0.000000, 2398.85, -116, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 2382.73, -119, 254
3 00000000000000000000000001000000, 0.000000, 0.000000, 2350.33, -110, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 2338.43, -111, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 2299.72, -110, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 2285.45, -114, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 2272.51, -114, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 2247.32, -117, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 2233.70, -115, 4
33 00000000000000000000000001000000, 0.000000, 0.000000, 2199.27, -110, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 2185.55, -112, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 2173.85, -117, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 2158.23, -117, 1
3 00000000000000000000000001000000, 0.000000, 0.000000, 2144.27, -116, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 2130.09, -111, 6
3 00000000000000000000000001000000, 0.000000, 0.000000, 2115.59, -110, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 2090.34, -114, 1
3 00000000000000000000000001000000, 0.000000, 0.000000, 2076.24, -112, 6
3 00000000000000000000000001000000, 0.000000, 0.000000, 2059.30, -121, 253
3 00000000000000000000000001000000, 0.000000, 0.000000, 2044.44, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 2031.99, -114, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 2006.26, -125, 249
3 00000000000000000000000001000000, 0.000000, 0.000000, 1991.69, -111, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1976.43, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1961.36, -105, 12
3 00000000000000000000000001000000, 0.000000, 0.000000, 1949.09, -108, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1937.95, -115, 1
3 00000000000000000000000001000000, 0.000000, 0.000000, 1920.16, -109, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1903.41, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1887.63, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1873.68, -120, 254
3 00000000000000000000000001000000, 0.000000, 0.000000, 1858.44, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1830.78, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1816.68, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1802.75, -116, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 1786.38, -115, 1
3 00000000000000000000000001000000, 0.000000, 0.000000, 1757.80, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1745.19, -111, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1732.19, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1718.34, -107, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1703.44, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1690.54, -112, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1677.17, -110, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1660.25, -119, 254
3 00000000000000000000000001000000, 0.000000, 0.000000, 1643.20, -112, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 1629.86, -108, 9
3 00000000000000000000000001000000, 0.000000, 0.000000, 1612.50, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1598.73, -120, 254
3 00000000000000000000000001000000, 0.000000, 0.000000, 1586.73, -115, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 1576.13, -112, 6
3 00000000000000000000000001000000, 0.000000, 0.000000, 1562.88, -111, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 1549.15, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1534.92, -112, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1519.18, -113, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 1502.69, -111, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1485.62, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1470.38, -114, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 1444.26, -113, 5
3 00000000000000000000000001000000, 0.000000, 0.000000, 1431.02, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1417.25, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1374.58, -110, 9
3 00000000000000000000000001000000, 0.000000, 0.000000, 1359.67, -121, 253
3 00000000000000000000000001000000, 0.000000, 0.000000, 1344.27, -116, 0
3 00000000000000000000000001000000, 0.000000, 0.000000, 1329.36, -111, 6
3 00000000000000000000000001000000, 0.000000, 0.000000, 1317.34, -113, 2
3 00000000000000000000000001000000, 0.000000, 0.000000, 1303.54, -110, 7
3 00000000000000000000000001000000, 0.000000, 0.000000, 1287.56, -109, 8
3 00000000000000000000000001000000, 0.000000, 0.000000, 1271.03, -113, 4
3 00000000000000000000000001000000, 0.000000, 0.000000, 1255.95, -114, 3
3 00000000000000000000000001000000, 0.000000, 0.000000, 1242.22, -114, 3
