
[LANDED] [15:56:57.000] #1  55.719654, -4.799602  alt=-37.9m  sats=239  rssi=-135
[LANDED] [15:57:38.000] #2  55.719654, -4.799602  alt=-38.1m  sats=243  rssi=-127
[UNKNOWN:44] [15:57:44.000] #3  55.719654, -4.799602  alt=-38.6m  sats=245  rssi=-129
[LANDED] [15:58:10.000] #4  55.719654, -4.799602  alt=-39.1m  sats=253  rssi=-119
